No	Country	Total Case	New Case	Total Deaths	New Deaths	Total Recovered	Active Case	Serious, Critical	Tot Cases/1M pop	Deaths/1M pop	Total Tests	Tests/1M pop	Population	Continent
94	Luxembourg	27,092	+548	226	+4	15,428	11,438	46	43,021	359	1,226,544	1,947,708	629,737	Europe	
95	Cameroon	22,692	--	433	--	21,510	749	41	847	16	149,000	5,562	26,787,281	Africa	
96	Ivory Coast	20,945	--	127	--	20,630	188	--	787	5	203,802	7,657	26,616,959	Africa	
97	Finland	19,315	+213	369	--	14,000	4,946	15	3,484	67	1,710,217	308,484	5,543,949	Europe	
98	Madagascar	17,310	+87	250	+1	16,592	468	16	619	9	92,992	3,327	27,950,845	Africa	
99	Sri Lanka	17,287	+704	58	+5	11,495	5,734	--	806	3	661,387	30,838	21,446,836	Asia	
100	Zambia	17,123	+26	353	+3	16,137	633	--	922	19	327,832	17,653	18,571,344	Africa	
101	Uganda	16,020	+231	145	+1	8,038	7,837	--	346	3	588,533	12,721	46,264,442	Africa	
102	Senegal	15,793	+14	328	+1	15,416	49	4	934	19	218,821	12,944	16,904,848	Africa	
103	Sudan	14,626	--	1,116	--	9,571	3,939	--	331	25	--	--	44,224,007	Africa	
104	Mozambique	14,448	+108	113	+3	12,505	1,830	--	458	4	210,599	6,670	31,574,142	Africa	
105	Namibia	13,449	--	138	--	12,467	844	6	5,258	54	140,422	54,898	2,557,853	Africa	
106	Angola	13,374	--	322	--	6,345	6,707	34	402	10	171,247	5,152	33,236,947	Africa	
107	Guinea	12,585	--	74	--	11,041	1,470	24	949	6	50,318	3,794	13,262,587	Africa	
108	Maldives	12,154	--	43	+1	11,262	849	12	22,340	79	150,743	277,074	544,053	Asia	
109	DRC	11,760	--	319	--	11,086	355	--	130	4	--	--	90,549,483	Africa	
110	French Polynesia	11,706	--	53	--	4,842	6,811	26	41,582	188	26,355	93,619	281,514	Australia/Oceania	
111	Tajikistan	11,610	+37	85	--	10,973	552	--	1,207	9	--	--	9,616,141	Asia	
112	French Guiana	10,844	--	70	--	9,995	779	--	35,966	232	78,762	261,228	301,507	South America	
113	Latvia	10,547	+316	123	+2	1,515	8,909	14	5,615	65	538,766	286,841	1,878,277	Europe	
114	Jamaica	9,884	+104	231	+2	5,248	4,405	6	3,332	78	104,757	35,319	2,966,001	North America	
115	Cabo Verde	9,780	--	102	--	9,148	530	23	17,520	183	101,878	182,502	558,230	Africa	
116	Haiti	9,168	--	232	--	7,701	1,235	--	800	20	33,073	2,887	11,454,075	North America	
117	Gabon	9,062	--	58	--	8,939	65	7	4,037	26	266,271	118,609	2,244,952	Africa	
118	Zimbabwe	8,786	--	257	--	8,096	433	--	588	17	171,023	11,445	14,942,943	Africa	
119	Botswana	8,225	--	27	--	5,559	2,639	1	3,472	11	330,611	139,553	2,369,073	Africa	
120	Guadeloupe	8,098	--	139	--	2,242	5,717	15	20,237	347	74,138	185,276	400,150	North America	
121	Malta	8,034	+117	97	+2	5,765	2,172	13	18,177	219	383,129	866,839	441,984	Europe	
122	Mauritania	7,948	--	165	--	7,516	267	4	1,693	35	94,594	20,151	4,694,234	Africa	
123	Estonia	7,637	+226	81	+1	4,741	2,815	9	5,756	61	401,036	302,242	1,326,870	Europe	
124	Cuba	7,590	+22	131	--	7,060	399	2	670	12	969,339	85,600	11,324,017	North America	
125	Bahamas	7,186	+23	156	+1	5,323	1,707	3	18,209	395	39,592	100,324	394,642	North America	
126	Cyprus	7,051	--	39	--	2,021	4,991	7	5,824	32	532,789	440,090	1,210,636	Asia	
127	Réunion	6,881	--	28	--	5,928	925	21	7,665	31	48,859	54,427	897,695	Africa	
128	Syria	6,613	--	341	--	2,665	3,607	--	375	19	--	--	17,656,093	Asia	
129	Eswatini	6,093	--	119	--	5,771	203	11	5,232	102	55,197	47,395	1,164,628	Africa	
130	Trinidad and Tobago	6,077	--	112	--	5,373	592	3	4,337	80	34,701	24,765	1,401,185	North America	
131	Malawi	5,964	--	185	--	5,399	380	4	309	10	68,261	3,535	19,310,345	Africa	
132	Andorra	5,725	--	75	--	4,675	975	20	74,052	970	154,640	2,000,233	77,311	Europe	
133	Nicaragua	5,661	--	158	--	4,225	1,278	--	851	24	--	--	6,653,791	North America	
134	Djibouti	5,645	--	61	--	5,519	65	--	5,683	61	88,168	88,761	993,314	Africa	
135	Congo	5,515	--	92	--	3,887	1,536	--	991	17	--	--	5,567,726	Africa	
136	Hong Kong	5,459	+14	108	--	5,187	164	6	726	14	3,753,969	499,222	7,519,639	Asia	
137	Rwanda	5,394	--	42	--	4,994	358	--	413	3	585,540	44,802	13,069,535	Africa	
138	Suriname	5,274	--	114	--	5,143	17	5	8,960	194	20,432	34,714	588,588	South America	
139	Iceland	5,189	+3	25	--	4,813	351	3	15,169	73	374,662	1,095,282	342,069	Europe	
140	Equatorial Guinea	5,104	--	85	--	4,973	46	1	3,595	60	67,412	47,485	1,419,660	Africa	
141	Mayotte	4,921	--	46	--	2,964	1,911	5	17,880	167	18,173	66,030	275,222	Africa	
142	CAR	4,896	--	63	--	1,924	2,909	2	1,007	13	32,711	6,730	4,860,722	Africa	
143	Guyana	4,794	--	138	--	3,725	931	9	6,084	175	24,411	30,980	787,971	South America	
144	Belize	4,783	+68	88	+3	2,564	2,131	4	11,949	220	26,985	67,414	400,287	North America	
145	Martinique	4,732	--	37	--	98	4,597	16	12,613	99	60,432	161,085	375,156	North America	
146	Aruba	4,658	--	44	--	4,521	93	4	43,559	411	43,918	410,694	106,936	North America	
147	Somalia	4,301	--	107	--	3,330	864	--	268	7	--	--	16,054,627	Africa	
148	Uruguay	3,957	--	64	--	3,175	718	10	1,138	18	366,559	105,386	3,478,237	South America	
149	Thailand	3,874	+8	60	--	3,715	99	1	55	0.9	977,854	13,996	69,865,614	Asia	
150	Mali	3,868	--	139	--	2,937	792	--	189	7	86,078	4,207	20,462,918	Africa	
151	Gambia	3,702	--	122	--	3,567	13	--	1,516	50	22,362	9,160	2,441,376	Africa	
152	South Sudan	3,003	--	59	--	1,290	1,654	--	267	5	12,044	1,071	11,242,418	Africa	
153	Benin	2,844	--	43	--	2,515	286	--	232	4	269,280	22,002	12,239,029	Africa	
154	Togo	2,651	--	61	--	1,885	705	--	317	7	133,803	16,025	8,349,738	Africa	
155	Burkina Faso	2,635	--	68	--	2,426	141	--	125	3	--	--	21,112,041	Africa	
156	Guinea-Bissau	2,419	--	43	--	2,255	121	5	1,219	22	27,486	13,847	1,985,021	Africa	
157	Sierra Leone	2,391	--	74	--	1,816	501	--	298	9	--	--	8,036,574	Africa	
158	Yemen	2,072	--	605	--	1,394	73	--	69	20	16,658	554	30,066,791	Asia	
159	Lesotho	2,041	--	44	--	1,056	941	--	950	20	24,030	11,184	2,148,576	Africa	
160	New Zealand	2,001	+3	25	--	1,918	58	--	400	5	1,179,587	235,818	5,002,100	Australia/Oceania	
161	Chad	1,591	--	100	--	1,439	52	--	96	6	--	--	16,597,268	Africa	
162	Liberia	1,507	+9	82	--	1,314	111	2	295	16	32,308	6,333	5,101,185	Africa	
163	Curaçao	1,307	--	2	--	923	382	1	7,953	12	16,021	97,485	164,344	North America	
164	Niger	1,301	--	70	--	1,147	84	9	53	3	41,475	1,691	24,522,306	Africa	
165	Vietnam	1,281	+25	35	--	1,103	143	--	13	0.4	1,339,465	13,715	97,664,518	Asia	
166	San Marino	1,253	--	42	--	888	323	3	36,899	1,237	13,396	394,487	33,958	Europe	
167	Channel Islands	1,003	--	48	--	815	140	10	5,749	275	165,849	950,647	174,459	Europe	
168	Liechtenstein	985	+15	5	--	682	298	12	25,806	131	9,155	239,854	38,169	Europe	
169	Sao Tome and Principe	964	--	16	--	917	31	--	4,369	73	6,988	31,669	220,657	Africa	
170	Sint Maarten	923	--	24	--	835	64	6	21,437	557	7,058	163,922	43,057	North America	
171	Gibraltar	902	+15	1	--	754	147	7	26,776	30	78,142	2,319,649	33,687	Europe	
172	Turks and Caicos	720	--	6	--	695	19	1	18,504	154	5,808	149,264	38,911	North America	
173	Diamond Princess	712	--	13	--	659	40	4	--	--	--	--	--	--	
174	Saint Martin	655	--	12	--	551	92	4	16,834	308	6,906	177,491	38,909	North America	
175	Burundi	627	--	1	--	549	77	--	52	0.08	56,870	4,732	12,019,396	Africa	
176	Taiwan	602	+2	7	--	536	59	--	25	0.3	105,589	4,430	23,832,941	Asia	
177	Papua New Guinea	600	--	7	--	586	7	--	67	0.8	30,027	3,333	9,009,386	Australia/Oceania	
178	Comoros	579	--	7	--	549	23	--	661	8	--	--	876,398	Africa	
179	Monaco	545	--	2	--	446	97	5	13,851	51	51,953	1,320,414	39,346	Europe	
180	Tanzania	509	--	21	--	183	305	7	8	0.3	--	--	60,353,113	Africa	
181	Faeroe Islands	498	+1	--	--	495	3	--	10,177	--	161,301	3,296,432	48,932	Europe	
182	Eritrea	493	--	--	--	444	49	--	138	--	--	--	3,564,589	Africa	
183	Mauritius	470	--	10	--	428	32	--	369	8	278,091	218,529	1,272,560	Africa	
184	Mongolia	428	+12	--	--	328	100	2	130	--	98,390	29,835	3,297,780	Asia	
185	Bhutan	375	+6	--	--	353	22	--	484	--	188,891	243,805	774,763	Asia	
186	Isle of Man	363	--	25	--	329	9	--	4,261	293	17,173	201,559	85,201	Europe	
187	Cambodia	302	--	--	--	289	13	--	18	--	208,154	12,387	16,804,609	Asia	
188	Cayman Islands	254	--	1	--	240	13	1	3,848	15	49,176	745,001	66,008	North America	
189	Barbados	249	--	7	--	234	8	--	866	24	41,360	143,857	287,507	North America	
190	Bermuda	222	--	9	--	189	24	--	3,570	145	95,919	1,542,329	62,191	North America	
191	Saint Lucia	160	--	2	--	46	112	--	870	11	13,465	73,203	183,941	North America	
192	Seychelles	160	--	--	--	157	3	--	1,623	--	5,200	52,752	98,574	Africa	
193	Caribbean Netherlands	155	--	3	--	151	1	--	5,890	114	3,377	128,335	26,314	North America	
194	Brunei	148	--	3	--	145	0	--	337	7	72,550	165,248	439,037	Asia	
195	Antigua and Barbuda	134	--	4	--	127	3	--	1,364	41	4,137	42,115	98,231	North America	
196	St. Barth	109	--	--	--	83	26	--	11,023	--	4,445	449,535	9,888	North America	
197	St. Vincent Grenadines	78	--	--	--	77	1	--	702	--	8,198	73,808	111,072	North America	
198	British Virgin Islands	71	--	1	--	70	0	--	2,343	33	5,193	171,352	30,306	North America	
199	Dominica	68	--	--	--	41	27	--	944	--	5,160	71,614	72,053	North America	
200	Macao	46	--	--	--	46	0	--	70	--	4,238	6,494	652,612	Asia	
201	Fiji	35	--	2	--	32	1	--	39	2	14,152	15,744	898,867	Australia/Oceania	
202	Grenada	32	--	--	--	27	5	--	284	--	6,252	55,466	112,718	North America	
